id,track_artist,track_name,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genreVerbose,genreFamily
7284,Jonathon Brandmeier,When Friday Comes - Live,279771,0,,2,0.537,0.765,0,-12.418,1,0.0469,0.00161,0.00318,0.942,0.737,97.042,unknown,unknown
7285,Jonathon Brandmeier,You Won't See Me on M T V - Live,258733,0,,2,0.442,0.71,2,-13.617,1,0.0334,0.0721,0,0.978,0.915,144.289,unknown,unknown
7286,Jonathon Brandmeier,"How, How, How (The White Boy Blues)",316687,0,,1,0.439,0.53,7,-13.936,1,0.0728,0.222,0.000156,0.66,0.548,119.951,unknown,unknown
7287,Jonathon Brandmeier,Nothin' in My Mind,221107,0,,1,0.662,0.703,7,-12.365,1,0.0295,0.00453,0.00369,0.144,0.797,137.948,unknown,unknown
7288,Jonathon Brandmeier,Breakin' up Isn't Hard to Do (With Someone Like You),238267,0,,1,0.636,0.791,4,-12.912,0,0.0556,0.0839,3.87E-06,0.121,0.565,93.904,unknown,unknown
7289,Jonathon Brandmeier,The Moo-Moo Song - Live,201081,0,,3,0.307,0.771,7,-11.59,1,0.0589,0.135,0.00187,0.748,0.788,172.38,unknown,unknown
7290,Jonathon Brandmeier,Country Music Star,265618,0,,0,0.326,0.777,7,-11.11,1,0.049,0.265,0,0.0627,0.858,166.677,unknown,unknown
7291,Jonathon Brandmeier,Good Sturdy Woman,268667,0,,1,0.732,0.72,0,-12.222,1,0.0593,0.125,0,0.123,0.905,92.977,unknown,unknown
7292,Jonathon Brandmeier,Making Love in the Aid-Ees,215307,0,,1,0.448,0.667,0,-12.612,1,0.042,0.197,0,0.366,0.727,143.52,unknown,unknown
7293,Jackson Pines,Even When I'm Gone,182732,0,,11,0.566,0.427,4,-8.684,1,0.026,0.595,0.016,0.102,0.529,98.2,asbury park indie,indie
7294,Jackson Pines,Purgatory Road,278470,0,,3,0.715,0.277,5,-10.504,1,0.0242,0.561,0.0293,0.0788,0.326,90.032,asbury park indie,indie
7295,Jackson Pines,Now or Never,186208,0,,1,0.59,0.654,7,-6.756,1,0.0262,0.0331,7.39E-05,0.262,0.735,132.027,asbury park indie,indie
7296,Jackson Pines,The Deep End,199102,0,,1,0.564,0.408,3,-7.034,1,0.0265,0.74,0,0.0927,0.411,144.607,asbury park indie,indie
7297,Jackson Pines,Sweetwater,173289,0,,3,0.651,0.639,4,-7.489,1,0.027,0.606,1.49E-05,0.151,0.526,102.983,asbury park indie,indie
7298,Jackson Pines,Loaded in the Sky,254117,0,,2,0.725,0.438,0,-8.682,1,0.0278,0.0738,0.0154,0.4,0.631,118.981,asbury park indie,indie
7299,Jackson Pines,With New Eyes,208270,0,,1,0.581,0.411,2,-8.657,1,0.025,0.228,0,0.105,0.33,80.1,asbury park indie,indie
7300,Jackson Pines,Hard Times in the Pines,142435,0,,1,0.627,0.394,10,-10.676,0,0.0285,0.0566,0.00475,0.131,0.76,103.889,asbury park indie,indie
7301,Jackson Pines,Princeton City Blues,217109,0,,1,0.594,0.428,2,-8.869,1,0.0252,0.686,0.00548,0.359,0.283,80.438,asbury park indie,indie
7302,Jackson Pines,"Knees, Eyes, Hands",204357,0,,1,0.537,0.455,7,-7.726,1,0.0279,0.453,0,0.359,0.504,138.76,asbury park indie,indie
7303,Jonathon Brandmeier,Sweet Home Chicago - Live,261150,0,,1,0.626,0.716,10,-11.447,1,0.0589,0.148,0,0.0797,0.809,112.464,unknown,unknown
7304,Jonathon Brandmeier,Just Havin' Fun (J.B.THEME) - Live,325502,0,,1,0.502,0.833,9,-11.909,1,0.0731,0.0315,0.0176,0.981,0.591,122.485,unknown,unknown
7305,Jonathon Brandmeier,We're All Crazy in Chicago - Live,220560,0,,4,0.348,0.863,9,-11.92,1,0.085,0.0527,0,0.434,0.456,152.541,unknown,unknown
7306,Jonathon Brandmeier,J.B Reprise,348840,0,,3,0.295,0.958,9,-10.181,1,0.0818,0.00505,0.000838,0.645,0.36,163.432,unknown,unknown
